job title,languages,age,location,salary,salary_category,genders
IT Analysis,HTML/CSS,38,Oriental Mindoro,56978,Mid Level,Male
Software Development,PHP,32,Northern Samar,49744,Mid Level,Male
Computer Support,JavaScript,30,Maguindanao del Norte,33455,Junior,Male
Network Engineering,JavaScript,39,Pangasinan,69675,Mid Level,Male
IT Analysis,HTML/CSS,35,Pampanga,60102,Mid Level,Female
Technology Sales,C++,30,Aurora,26804,Junior,Male
Web Development,JavaScript,30,Camiguin,50013,Mid Level,Female
Web Development,Java,30,Cotabato,48832,Mid Level,Female
Software Development,HTML/CSS,31,Misamis Occidental,59392,Mid Level,Male
Web Development,Java,30,Bukidnon,57967,Mid Level,Male
Database Administration,JavaScript,45,Surigao del Norte,54132,Mid Level,Male
Information Security,C++,53,Camarines Sur,81413,Senior,Male
Network Engineering,Java,37,Negros Occidental,78922,Senior,Male
IT Sales Executive,PHP,27,Apayao,57744,Mid Level,Female
Software Development,HTML/CSS,30,Zamboanga Sibugay,63174,Mid Level,Nonbinary
IT Analysis,JavaScript,44,Cotabato,60392,Mid Level,Nonbinary
Computer Support,C++,30,Camiguin,28931,Junior,Nonbinary
Web Development,Python,30,Laguna,30726,Junior,Male
Network Engineering,JavaScript,40,Bohol,46797,Mid Level,Female
Computer Support,R,30,Dinagat Islands,31007,Junior,Female
Information Security,R,50,Lanao del Norte,93277,Senior,Male
Network Engineering,Java,35,Southern Leyte,40574,Mid Level,Female
Web Development,JavaScript,30,Iloilo,51926,Mid Level,Male
Software Development,SQL,29,Masbate,42651,Mid Level,Nonbinary
Computer Support,Swift,30,Maguindanao del Norte,37720,Junior,Nonbinary
Computer Support,Ruby,30,Laguna,31587,Junior,Female
Software Development,Python,30,Albay,54674,Mid Level,Male
Information Security,HTML/CSS,61,Bukidnon,112193,Executive,Male
Software Development,Ruby,29,Sultan Kudarat,93126,Senior,Male
Technology Sales,HTML/CSS,30,Eastern Samar,30022,Junior,Male
IT Analysis,HTML/CSS,37,Kalinga,43237,Mid Level,Female
Software Development,Java,26,Misamis Oriental,53604,Mid Level,Nonbinary
Software Development,Ruby,32,Ifugao,91112,Senior,Female
Software Development,JavaScript,31,Davao del Sur,67747,Mid Level,Male
Web Development,SQL,30,Laguna,51522,Mid Level,Nonbinary
Network Engineering,Python,44,Batangas,48433,Mid Level,Female
Web Development,Java,30,Davao Oriental,47641,Mid Level,Male
Computer Support,Python,30,Siquijor,27920,Junior,Male
IT Sales Executive,JavaScript,31,Aklan,41238,Mid Level,Male
Computer Support,Swift,30,Isabela,32119,Junior,Male
IT Sales Executive,Ruby,29,Abra,49001,Mid Level,Female
Technology Sales,JavaScript,30,Bohol,27617,Junior,Male
IT Analysis,C++,43,Masbate,50358,Mid Level,Male
Database Administration,Java,62,Tarlac,63638,Mid Level,Male
Helpdesk Manager,JavaScript,47,Occidental Mindoro,69507,Mid Level,Male
Software Development,Java,28,Occidental Mindoro,99400,Senior,Nonbinary
Software Development,Python,29,Southern Leyte,44349,Mid Level,Female
Network Engineering,Swift,37,Misamis Oriental,58810,Mid Level,Male
Software Development,Java,31,Kalinga,31694,Junior,Female
Cloud Engineering,JavaScript,39,Kalinga,62566,Mid Level,Female
IT Analysis,JavaScript,39,Dinagat Islands,48489,Mid Level,Male
Information Security,Python,50,Cebu,108719,Executive,Male
IT Analysis,HTML/CSS,41,Abra,42477,Mid Level,Male
Web Designer,PHP,19,Tarlac,23660,Junior,Male
IT Sales Executive,Ruby,34,Palawan,32679,Junior,Female
Computer Support,JavaScript,30,South Cotabato,31818,Junior,Female
Software Development,JavaScript,32,Agusan del Norte,46887,Mid Level,Nonbinary
IT Sales Executive,R,33,Ilocos Sur,54496,Mid Level,Male
IT Analysis,JavaScript,38,La Union,59788,Mid Level,Female
Database Administration,Ruby,52,Masbate,55049,Mid Level,Male
IT Sales Executive,Java,33,Catanduanes,56217,Mid Level,Female
Computer Support,SQL,30,Bukidnon,39419,Junior,Female
Software Development,JavaScript,31,Nueva Ecija,71407,Senior,Male
Web Development,Java,30,Negros Occidental,44030,Mid Level,Male
IT Sales Executive,HTML/CSS,29,Basilan,30298,Junior,Male
Web Designer,Java,20,Cebu,46906,Mid Level,Male
IT Sales Executive,PHP,25,Misamis Occidental,40043,Mid Level,Male
Information Security,JavaScript,55,Camarines Norte,114044,Executive,Male
Cloud Engineering,R,43,Sorsogon,91452,Senior,Female
Cloud Engineering,HTML/CSS,39,Rizal,78714,Senior,Male
Web Development,Python,30,Davao de Oro,36640,Junior,Male
Cloud Engineering,JavaScript,43,Isabela,86270,Senior,Male
Computer Support,PHP,30,Zambales,29777,Junior,Male
Network Engineering,Ruby,44,Cagayan,37681,Junior,Male
IT Analysis,Ruby,38,Maguindanao del Sur,55268,Mid Level,Male
Computer Support,Python,30,Abra,32294,Junior,Nonbinary
Computer Support,JavaScript,30,Eastern Samar,31389,Junior,Male
Software Development,Ruby,29,Davao Occidental,36281,Junior,Male
Web Development,Java,30,Bohol,42315,Mid Level,Male
Software Development,HTML/CSS,28,Abra,49379,Mid Level,Male
Computer Support,Java,30,Dinagat Islands,31939,Junior,Male
Web Development,HTML/CSS,30,Surigao del Norte,55877,Mid Level,Female
Database Administration,Ruby,46,Isabela,60325,Mid Level,Male
Software Development,JavaScript,25,Quezon,72390,Senior,Male
Web Development,SQL,30,Tarlac,33709,Junior,Female
Network Engineering,Ruby,42,Misamis Oriental,32680,Junior,Male
Helpdesk Manager,Ruby,64,Zamboanga Sibugay,63291,Mid Level,Female
Network Engineering,C++,39,Abra,54228,Mid Level,Nonbinary
IT Analysis,PHP,40,Catanduanes,41137,Mid Level,Male
Computer Support,JavaScript,30,Leyte,25392,Junior,Male
Helpdesk Manager,PHP,55,Negros Oriental,65981,Mid Level,Nonbinary
Computer Support,JavaScript,30,Ilocos Sur,23650,Junior,Male
Helpdesk Manager,Swift,52,Biliran,74309,Senior,Male
Database Administration,JavaScript,51,Quirino,80454,Senior,Male
IT Sales Executive,Python,28,Negros Occidental,60950,Mid Level,Female
Software Development,JavaScript,30,La Union,38856,Junior,Nonbinary
Web Designer,SQL,21,Maguindanao del Norte,43964,Mid Level,Male
Web Development,JavaScript,30,Batangas,28020,Junior,Male
Software Development,JavaScript,31,Zamboanga del Sur,37790,Junior,Male
Technology Sales,Ruby,30,Palawan,51885,Mid Level,Female
Information Security,JavaScript,56,Bukidnon,115495,Executive,Male
Network Engineering,Java,35,Sarangani,73285,Senior,Nonbinary
Helpdesk Manager,Java,59,Capiz,57047,Mid Level,Male
Web Designer,C++,23,Nueva Ecija,38828,Junior,Female
Software Development,JavaScript,34,Cagayan,96212,Senior,Male
Technology Sales,HTML/CSS,30,Pampanga,41383,Mid Level,Male
Technology Sales,R,30,Isabela,30048,Junior,Male
Software Development,C++,34,Batanes,68228,Mid Level,Male
IT Analysis,JavaScript,38,Albay,59003,Mid Level,Male
Computer Support,Java,30,Catanduanes,38592,Junior,Male
Web Development,R,30,Ilocos Sur,35841,Junior,Female
Web Development,Ruby,30,Isabela,48755,Mid Level,Male
Web Development,HTML/CSS,30,Batanes,45044,Mid Level,Male
IT Analysis,C++,41,Tarlac,56539,Mid Level,Male
Computer Support,Python,30,Misamis Occidental,23445,Junior,Male
Computer Support,Java,30,Zamboanga del Norte,26475,Junior,Male
Web Designer,PHP,22,Lanao del Sur,41387,Mid Level,Male
Technology Sales,Ruby,30,Agusan del Norte,22556,Junior,Male
Technology Sales,JavaScript,30,Tarlac,36951,Junior,Male
Software Development,C++,33,Albay,53475,Mid Level,Male
IT Analysis,JavaScript,39,Quirino,52942,Mid Level,Nonbinary
IT Sales Executive,Python,28,Cavite,30519,Junior,Nonbinary
Software Development,Python,33,Masbate,96870,Senior,Male
Computer Support,Swift,30,Dinagat Islands,26842,Junior,Nonbinary
Technology Sales,JavaScript,30,Isabela,46183,Mid Level,Male
Helpdesk Manager,JavaScript,64,Lanao del Sur,66386,Mid Level,Female
IT Sales Executive,C++,31,Basilan,56356,Mid Level,Male
Information Security,HTML/CSS,54,Dinagat Islands,104431,Executive,Male
Network Engineering,Python,38,Leyte,48603,Mid Level,Female
IT Analysis,Ruby,39,Camiguin,43778,Mid Level,Male
Web Designer,Python,22,Cagayan,24745,Junior,Female
IT Analysis,R,43,Albay,64367,Mid Level,Male
IT Sales Executive,R,33,Bohol,60581,Mid Level,Male
Network Engineering,Swift,40,Batanes,57841,Mid Level,Male
Network Engineering,Python,38,Northern Samar,75343,Senior,Nonbinary
Information Security,R,46,Lanao del Norte,68441,Mid Level,Female
IT Analysis,JavaScript,37,Misamis Oriental,44753,Mid Level,Male
IT Analysis,Java,36,Maguindanao del Sur,70166,Senior,Male
IT Analysis,JavaScript,39,Abra,62951,Mid Level,Male
IT Analysis,JavaScript,40,La Union,39057,Junior,Nonbinary
Software Development,R,29,Lanao del Sur,69553,Mid Level,Male
Web Development,C++,30,South Cotabato,32548,Junior,Nonbinary
Computer Support,Ruby,30,Cebu,25105,Junior,Male
Web Designer,Ruby,19,Antique,39962,Junior,Female
Helpdesk Manager,JavaScript,56,South Cotabato,63150,Mid Level,Male
IT Sales Executive,JavaScript,29,Guimaras,53325,Mid Level,Nonbinary
Web Designer,Python,18,Bulacan,28113,Junior,Male
IT Analysis,JavaScript,38,Sarangani,59222,Mid Level,Female
Technology Sales,Python,30,Ilocos Norte,31505,Junior,Male
Software Development,HTML/CSS,34,Zamboanga Sibugay,90842,Senior,Male
Software Development,Java,26,Antique,42309,Mid Level,Female
IT Analysis,Java,37,Sulu,58039,Mid Level,Male
Software Development,Java,27,Quirino,68669,Mid Level,Male
IT Analysis,Ruby,43,Cotabato,51750,Mid Level,Male
IT Analysis,HTML/CSS,38,Davao del Norte,59729,Mid Level,Female
Database Administration,JavaScript,61,Occidental Mindoro,55687,Mid Level,Female
Network Engineering,Ruby,35,La Union,32765,Junior,Female
Network Engineering,C++,41,Misamis Oriental,47976,Mid Level,Male
Computer Support,C++,30,Eastern Samar,38531,Junior,Male
Helpdesk Manager,HTML/CSS,46,Batangas,52893,Mid Level,Male
Web Development,JavaScript,30,Zamboanga del Sur,45062,Mid Level,Female
Computer Support,JavaScript,30,Cotabato,25998,Junior,Female
Helpdesk Manager,Java,53,Negros Oriental,60402,Mid Level,Male
IT Sales Executive,Python,33,Davao del Sur,42648,Mid Level,Male
Cloud Engineering,C++,39,Camiguin,101285,Executive,Male
Software Development,Java,27,Zamboanga del Norte,92076,Senior,Male
Network Engineering,Ruby,37,Lanao del Norte,71394,Senior,Male
Database Administration,PHP,47,South Cotabato,76157,Senior,Male
Computer Support,JavaScript,30,Maguindanao del Sur,34377,Junior,Male
Technology Sales,JavaScript,30,Samar,37034,Junior,Nonbinary
Technology Sales,Java,30,Davao del Norte,30273,Junior,Female
Web Development,Ruby,30,Pangasinan,37177,Junior,Female
Software Development,PHP,30,Maguindanao del Sur,91212,Senior,Female
Information Security,Python,48,Iloilo,55354,Mid Level,Male
Computer Support,R,30,Mountain Province,41267,Mid Level,Male
IT Analysis,Java,42,Lanao del Norte,60416,Mid Level,Male
Software Development,JavaScript,29,Nueva Ecija,51166,Mid Level,Female
Computer Support,Ruby,30,Pampanga,20840,Junior,Male
Cloud Engineering,Python,35,Lanao del Sur,53340,Mid Level,Male
Information Security,SQL,53,Tawi-Tawi,112344,Executive,Male
Information Security,Java,61,Agusan del Norte,128744,Executive,Female
Network Engineering,Ruby,40,Mountain Province,38339,Junior,Nonbinary
Cloud Engineering,Python,35,Ilocos Norte,102102,Executive,Male
Web Development,Ruby,30,Apayao,40799,Mid Level,Male
Software Development,HTML/CSS,27,Maguindanao del Sur,51988,Mid Level,Female
Database Administration,JavaScript,59,Agusan del Norte,80147,Senior,Male
Web Development,Java,30,Sulu,52467,Mid Level,Male
Helpdesk Manager,SQL,54,Cavite,59599,Mid Level,Male
Software Development,Java,32,Cavite,62915,Mid Level,Male
Network Engineering,Ruby,43,Camiguin,38316,Junior,Female
Cloud Engineering,Python,40,Cavite,110379,Executive,Male
Cloud Engineering,JavaScript,43,Leyte,108749,Executive,Male
Software Development,JavaScript,32,Laguna,37314,Junior,Female
Cloud Engineering,Java,43,Misamis Oriental,90635,Senior,Male
Software Development,HTML/CSS,34,Davao del Sur,76120,Senior,Female
Software Development,SQL,28,Sultan Kudarat,95527,Senior,Male
Network Engineering,JavaScript,43,Agusan del Sur,33417,Junior,Male
Software Development,JavaScript,31,Southern Leyte,49469,Mid Level,Female
IT Analysis,HTML/CSS,39,Camarines Sur,44469,Mid Level,Nonbinary
Helpdesk Manager,C++,45,Antique,56588,Mid Level,Male
Helpdesk Manager,JavaScript,46,Pangasinan,55830,Mid Level,Male
Computer Support,Ruby,30,Catanduanes,40250,Mid Level,Female
Cloud Engineering,R,44,Zamboanga Sibugay,63688,Mid Level,Male
Computer Support,JavaScript,30,Masbate,22294,Junior,Male
Web Development,C++,30,Zamboanga Sibugay,43479,Mid Level,Female
Software Development,Python,27,Southern Leyte,82170,Senior,Male
IT Analysis,Java,42,Batangas,45103,Mid Level,Nonbinary
Software Development,JavaScript,30,Batangas,75845,Senior,Male
Cloud Engineering,Python,44,Northern Samar,58993,Mid Level,Female
Information Security,JavaScript,59,Cavite,70265,Senior,Male
Computer Support,HTML/CSS,30,Pangasinan,37591,Junior,Male
Web Development,JavaScript,30,Northern Samar,30889,Junior,Male
Network Engineering,Ruby,39,Abra,65379,Mid Level,Female
Web Designer,R,22,Batangas,30219,Junior,Female
Network Engineering,R,35,Camiguin,44761,Mid Level,Male
Web Development,C++,30,Oriental Mindoro,46978,Mid Level,Nonbinary
Network Engineering,Swift,43,Davao del Norte,44964,Mid Level,Female
Database Administration,Java,47,Laguna,45945,Mid Level,Male
Software Development,Python,27,Quezon,76853,Senior,Female
Computer Support,PHP,30,Cavite,36224,Junior,Male
Software Development,Java,26,Davao del Norte,78662,Senior,Male
Database Administration,JavaScript,64,Misamis Oriental,49092,Mid Level,Nonbinary
Web Designer,Swift,21,Ilocos Norte,35170,Junior,Female
Web Development,Python,30,Catanduanes,49600,Mid Level,Male
Network Engineering,Java,36,Leyte,43942,Mid Level,Male
IT Sales Executive,HTML/CSS,33,Mountain Province,43421,Mid Level,Nonbinary
Computer Support,Java,30,Davao Occidental,22816,Junior,Male
IT Sales Executive,SQL,34,Pangasinan,57314,Mid Level,Male
Software Development,JavaScript,31,Albay,69544,Mid Level,Male
Computer Support,Java,30,Northern Samar,28278,Junior,Female
Web Development,JavaScript,30,Siquijor,30804,Junior,Male
Software Development,JavaScript,32,Occidental Mindoro,74457,Senior,Male
Computer Support,HTML/CSS,30,Benguet,20437,Junior,Nonbinary
Network Engineering,HTML/CSS,37,Batangas,28602,Junior,Male
Web Development,Java,30,Maguindanao del Norte,41930,Mid Level,Male
Network Engineering,JavaScript,40,Sarangani,41855,Mid Level,Female
Computer Support,Swift,30,Quirino,20098,Junior,Female
Helpdesk Manager,HTML/CSS,59,Dinagat Islands,53557,Mid Level,Male
Web Designer,Python,19,Davao del Sur,41815,Mid Level,Female
Web Designer,JavaScript,23,Quirino,26852,Junior,Male
Software Development,JavaScript,25,Kalinga,37680,Junior,Male
Computer Support,JavaScript,30,La Union,35563,Junior,Nonbinary
Software Development,Java,30,Oriental Mindoro,46321,Mid Level,Male
Computer Support,SQL,30,Lanao del Sur,32142,Junior,Male
Computer Support,HTML/CSS,30,Marinduque,33912,Junior,Male
Web Development,Java,30,Iloilo,38160,Junior,Male
Information Security,JavaScript,57,Biliran,79567,Senior,Female
Software Development,Swift,27,Bataan,73880,Senior,Male
Software Development,JavaScript,27,Ifugao,80026,Senior,Nonbinary
Technology Sales,Java,30,Cotabato,48596,Mid Level,Male
Web Development,JavaScript,30,Masbate,35452,Junior,Female
Web Designer,Java,20,Marinduque,45838,Mid Level,Female
Technology Sales,JavaScript,30,Ilocos Norte,45318,Mid Level,Male
Information Security,JavaScript,54,Leyte,93067,Senior,Female
IT Analysis,HTML/CSS,44,Apayao,68787,Mid Level,Female
Software Development,JavaScript,32,Marinduque,37474,Junior,Male
Software Development,Ruby,29,La Union,70198,Senior,Male
IT Analysis,C++,38,Capiz,39759,Junior,Nonbinary
Computer Support,HTML/CSS,30,Capiz,25091,Junior,Male
Software Development,JavaScript,33,Cavite,92412,Senior,Male
Network Engineering,Python,43,Negros Occidental,74015,Senior,Female
Web Development,JavaScript,30,Iloilo,32015,Junior,Male
IT Sales Executive,C++,25,Basilan,37241,Junior,Male
IT Analysis,Python,36,Abra,67113,Mid Level,Male
Technology Sales,JavaScript,30,Lanao del Sur,48221,Mid Level,Male
IT Sales Executive,JavaScript,32,Southern Leyte,40503,Mid Level,Nonbinary
Technology Sales,Python,30,Dinagat Islands,24133,Junior,Male
Network Engineering,Ruby,39,Basilan,59972,Mid Level,Male
Technology Sales,Java,30,Albay,30132,Junior,Female
Web Development,Python,30,Occidental Mindoro,40408,Mid Level,Male
Web Designer,Ruby,24,Quirino,35055,Junior,Female
Technology Sales,SQL,30,Ilocos Sur,51619,Mid Level,Male
Helpdesk Manager,JavaScript,45,Antique,50753,Mid Level,Male
IT Analysis,HTML/CSS,44,Davao del Norte,43841,Mid Level,Male
IT Analysis,JavaScript,39,Southern Leyte,65231,Mid Level,Nonbinary
Computer Support,C++,30,Leyte,19914,Entry Level,Nonbinary
Network Engineering,R,37,Agusan del Norte,39770,Junior,Nonbinary
Web Development,SQL,30,Antique,50845,Mid Level,Male
Cloud Engineering,SQL,44,Quirino,110114,Executive,Female
Information Security,R,56,Maguindanao del Sur,75130,Senior,Male
Web Designer,JavaScript,21,Davao del Sur,34268,Junior,Male
IT Analysis,Java,36,Zamboanga del Sur,56668,Mid Level,Male
Cloud Engineering,JavaScript,36,Davao del Norte,74737,Senior,Female
Software Development,C++,33,Cagayan,37494,Junior,Female
Software Development,Java,28,Bohol,76277,Senior,Female
Cloud Engineering,HTML/CSS,38,Biliran,105212,Executive,Male
Software Development,Ruby,31,Aurora,62882,Mid Level,Male
Network Engineering,Swift,44,Rizal,53364,Mid Level,Female
Computer Support,Java,30,South Cotabato,37136,Junior,Male
Computer Support,C++,30,Cotabato,25834,Junior,Male
IT Sales Executive,C++,34,Sarangani,32054,Junior,Male
Network Engineering,JavaScript,36,Romblon,71702,Senior,Male
Software Development,Java,27,Albay,55607,Mid Level,Male
Information Security,HTML/CSS,63,Sultan Kudarat,76324,Senior,Male
Computer Support,Python,30,Misamis Occidental,24013,Junior,Male
Computer Support,Java,30,Rizal,30560,Junior,Nonbinary
Software Development,C++,30,South Cotabato,72253,Senior,Female
Technology Sales,Python,30,Davao de Oro,30763,Junior,Male
IT Analysis,Ruby,37,Benguet,55957,Mid Level,Male
Information Security,JavaScript,64,Camarines Norte,86676,Senior,Male
Computer Support,Java,30,Ifugao,32879,Junior,Male
Network Engineering,JavaScript,37,Bulacan,33314,Junior,Male
Web Development,Swift,30,South Cotabato,30546,Junior,Male
Software Development,Ruby,32,Quezon,35330,Junior,Male
Web Development,Python,30,Bukidnon,46410,Mid Level,Male
Information Security,Java,58,Romblon,118853,Executive,Female
Computer Support,PHP,30,Ifugao,25412,Junior,Male
Computer Support,JavaScript,30,Davao del Sur,33154,Junior,Male
Technology Sales,C++,30,Mountain Province,29058,Junior,Male
Information Security,Java,54,Cavite,98051,Senior,Female
Network Engineering,JavaScript,37,Agusan del Norte,65224,Mid Level,Nonbinary
Web Development,JavaScript,30,Isabela,45630,Mid Level,Female
Software Development,Python,30,Masbate,70811,Senior,Male
Cloud Engineering,JavaScript,41,Batanes,101690,Executive,Male
Software Development,Swift,31,Cagayan,45576,Mid Level,Male
Computer Support,C++,30,Camiguin,34839,Junior,Male
Information Security,JavaScript,62,Nueva Ecija,88535,Senior,Male
Computer Support,Python,30,Nueva Vizcaya,35276,Junior,Male
IT Analysis,JavaScript,37,Biliran,45279,Mid Level,Male
Web Designer,Java,21,Cebu,28435,Junior,Male
Computer Support,JavaScript,30,Sarangani,27460,Junior,Male
Information Security,Java,54,Pangasinan,63124,Mid Level,Female
Network Engineering,C++,38,Masbate,65616,Mid Level,Female
Software Development,JavaScript,31,Marinduque,38166,Junior,Male
Database Administration,Java,46,Basilan,43944,Mid Level,Female
Computer Support,C++,30,South Cotabato,30454,Junior,Nonbinary
Web Development,HTML/CSS,30,Misamis Occidental,39667,Junior,Nonbinary
Information Security,Java,47,Laguna,133811,Executive,Male
Computer Support,R,30,Apayao,35403,Junior,Male
Web Development,Python,30,Benguet,52791,Mid Level,Male
Computer Support,HTML/CSS,30,Ilocos Sur,29380,Junior,Male
Computer Support,JavaScript,30,Tawi-Tawi,23123,Junior,Nonbinary
Technology Sales,JavaScript,30,Zambales,37407,Junior,Male
Computer Support,R,30,Biliran,27167,Junior,Female
Database Administration,R,51,Pangasinan,72842,Senior,Female
Software Development,Swift,31,Tarlac,84866,Senior,Male
Software Development,Python,34,Oriental Mindoro,71303,Senior,Male
IT Analysis,C++,37,Ilocos Sur,46762,Mid Level,Male
IT Analysis,Ruby,35,La Union,41966,Mid Level,Male
Computer Support,JavaScript,30,Oriental Mindoro,31830,Junior,Male
Network Engineering,R,37,Agusan del Sur,45736,Mid Level,Male
Software Development,Swift,29,Bataan,39548,Junior,Male
Computer Support,R,30,Ilocos Sur,21410,Junior,Nonbinary
IT Sales Executive,HTML/CSS,31,South Cotabato,58349,Mid Level,Female
Computer Support,Java,30,Bukidnon,34270,Junior,Female
Database Administration,JavaScript,64,Batanes,51139,Mid Level,Male
Software Development,PHP,25,Aurora,72879,Senior,Male
Helpdesk Manager,C++,62,Cavite,65989,Mid Level,Female
Software Development,JavaScript,27,Tawi-Tawi,70618,Senior,Nonbinary
Software Development,Java,28,Occidental Mindoro,91266,Senior,Male
Web Development,Java,30,Lanao del Norte,38856,Junior,Male
Software Development,JavaScript,30,Kalinga,69059,Mid Level,Male
Computer Support,Ruby,30,Bulacan,26677,Junior,Female
Helpdesk Manager,Java,49,Zamboanga del Norte,55291,Mid Level,Male
Database Administration,Java,51,Palawan,88278,Senior,Nonbinary
Software Development,PHP,26,Northern Samar,66890,Mid Level,Nonbinary
Information Security,C++,45,Ilocos Sur,115882,Executive,Nonbinary
Network Engineering,JavaScript,44,Quirino,44084,Mid Level,Male
Database Administration,Java,52,Southern Leyte,71470,Senior,Male
Software Development,Python,25,La Union,97142,Senior,Male
Computer Support,Ruby,30,La Union,25518,Junior,Male
Computer Support,JavaScript,30,Antique,24283,Junior,Male
IT Analysis,JavaScript,36,Batangas,63757,Mid Level,Male
IT Analysis,JavaScript,44,Kalinga,68500,Mid Level,Male
Helpdesk Manager,Java,61,Ilocos Norte,61984,Mid Level,Male
IT Analysis,Python,44,Agusan del Sur,51001,Mid Level,Male
Web Designer,Ruby,20,Southern Leyte,24438,Junior,Male
Web Development,Python,30,Sarangani,30622,Junior,Male
IT Analysis,Python,41,Bohol,58261,Mid Level,Female
Software Development,JavaScript,32,Zamboanga del Norte,54177,Mid Level,Male
Network Engineering,PHP,38,Abra,59264,Mid Level,Male
Information Security,JavaScript,56,Dinagat Islands,96922,Senior,Male
Database Administration,JavaScript,47,Cebu,37516,Junior,Nonbinary
Software Development,Python,25,Bohol,41784,Mid Level,Male
IT Analysis,JavaScript,43,Catanduanes,64077,Mid Level,Male
Web Designer,Java,19,Camarines Norte,33781,Junior,Nonbinary
Web Designer,Java,23,Capiz,34753,Junior,Male
Network Engineering,JavaScript,40,Cavite,67315,Mid Level,Nonbinary
IT Analysis,Ruby,43,Samar,45993,Mid Level,Male
Software Development,Java,25,Davao del Norte,33769,Junior,Nonbinary
Computer Support,R,30,Aurora,21284,Junior,Nonbinary
Computer Support,Swift,30,Cotabato,22514,Junior,Female
Web Development,Java,30,Quezon,37569,Junior,Female
Information Security,Python,56,Davao del Norte,113599,Executive,Male
Cloud Engineering,Python,39,Bukidnon,70659,Senior,Male
Software Development,Java,30,Isabela,54142,Mid Level,Male
Software Development,PHP,32,Ifugao,70150,Senior,Male
Technology Sales,R,30,Bulacan,26207,Junior,Male
Web Development,JavaScript,30,Basilan,57169,Mid Level,Male
Technology Sales,C++,30,Sultan Kudarat,24630,Junior,Male
Web Designer,SQL,22,Capiz,35578,Junior,Nonbinary
Computer Support,HTML/CSS,30,Negros Occidental,28770,Junior,Nonbinary
Cloud Engineering,Java,36,Aurora,63284,Mid Level,Female
Network Engineering,JavaScript,36,Lanao del Sur,62721,Mid Level,Male
Technology Sales,PHP,30,Apayao,28358,Junior,Male
Software Development,PHP,34,Lanao del Sur,66110,Mid Level,Male
Information Security,JavaScript,60,Maguindanao del Norte,99976,Senior,Male
Helpdesk Manager,Python,47,Camarines Sur,53654,Mid Level,Male
IT Sales Executive,Java,34,Ilocos Norte,51522,Mid Level,Male
Technology Sales,Java,30,Ilocos Sur,45191,Mid Level,Male
Web Development,C++,30,Davao Oriental,32037,Junior,Male
Network Engineering,Ruby,37,Ilocos Sur,54484,Mid Level,Male
IT Sales Executive,JavaScript,32,Tarlac,53602,Mid Level,Male
IT Analysis,PHP,41,Bulacan,46192,Mid Level,Male
Network Engineering,HTML/CSS,35,Occidental Mindoro,73051,Senior,Male
Network Engineering,PHP,39,Tawi-Tawi,52124,Mid Level,Male
Software Development,Java,33,Ilocos Norte,37417,Junior,Male
Computer Support,Ruby,30,Bohol,27725,Junior,Male
Software Development,JavaScript,28,Bataan,87182,Senior,Female
IT Sales Executive,HTML/CSS,25,South Cotabato,44561,Mid Level,Male
IT Analysis,Python,42,Southern Leyte,63922,Mid Level,Female
IT Analysis,JavaScript,39,Cavite,41394,Mid Level,Male
Web Designer,JavaScript,19,Tawi-Tawi,49277,Mid Level,Female
IT Analysis,JavaScript,35,Biliran,41527,Mid Level,Male
Cloud Engineering,Swift,37,Biliran,59464,Mid Level,Female
Information Security,C++,61,Misamis Oriental,128237,Executive,Male
IT Analysis,Swift,38,Nueva Vizcaya,55639,Mid Level,Nonbinary
Helpdesk Manager,Ruby,55,Batanes,70897,Senior,Male
Technology Sales,JavaScript,30,Oriental Mindoro,48968,Mid Level,Female
Information Security,Swift,57,Surigao del Norte,122521,Executive,Male
Web Development,JavaScript,30,Agusan del Norte,50861,Mid Level,Male
Network Engineering,JavaScript,42,Lanao del Sur,51882,Mid Level,Male
IT Analysis,C++,44,Negros Oriental,40086,Mid Level,Male
Technology Sales,JavaScript,30,Bataan,44446,Mid Level,Male
Web Designer,R,21,Davao Occidental,47214,Mid Level,Male
Web Development,SQL,30,Zamboanga del Norte,36951,Junior,Female
Network Engineering,PHP,42,Occidental Mindoro,59039,Mid Level,Female
Web Development,C++,30,Apayao,49088,Mid Level,Male
Software Development,Java,33,Laguna,87487,Senior,Male
Computer Support,Ruby,30,Albay,26880,Junior,Male
Web Designer,Java,24,Sarangani,42178,Mid Level,Male
Information Security,Python,58,Biliran,55797,Mid Level,Nonbinary
IT Analysis,Ruby,36,South Cotabato,44514,Mid Level,Female
Computer Support,Java,30,Masbate,29556,Junior,Male
IT Analysis,Ruby,43,Northern Samar,56752,Mid Level,Female
Information Security,HTML/CSS,55,Southern Leyte,79272,Senior,Female
Web Development,JavaScript,30,Davao de Oro,35775,Junior,Nonbinary
Cloud Engineering,Python,42,Occidental Mindoro,50062,Mid Level,Female
Technology Sales,C++,30,Surigao del Norte,46917,Mid Level,Male
IT Analysis,JavaScript,39,Bataan,51953,Mid Level,Male
Network Engineering,Java,37,Camiguin,86916,Senior,Male
Software Development,JavaScript,31,Aklan,60637,Mid Level,Male
IT Analysis,Java,36,Lanao del Sur,35282,Junior,Male
IT Analysis,Java,37,Benguet,57814,Mid Level,Male
Computer Support,JavaScript,30,Pampanga,19936,Entry Level,Nonbinary
Software Development,JavaScript,33,Iloilo,63685,Mid Level,Male
Network Engineering,Java,38,Mountain Province,60069,Mid Level,Male
